IMG	IMG_X	IMG_Y	X_WGS84	Y_WGS84	Z_HAE	NAME
AK02_20070922_195333	988.25	390.25	481239.3218	6786456.92	2301.027798	TOOTH
AK02_20070922_195333	1261.75	384.5	481497.8021	6787589.501	2432.093392	P7930
AK02_20070922_195333	1793.25	328.25	483724.866	6788352.63	2483.910022	TRIANGLEPK
AK02_20070922_195333	1980.5	624.5	492132.5979	6780714.854	563.8721985	clubarm
AK02_20070922_195333	2046.75	630.25	492263.39	6780711.84	548.15	bullseye
AK02_20070922_195333	2522	685.5	492548.1	6781467.24	443.9587097	xcrack
AK02_20070922_195333	2765.25	755	492682.5466	6781838.068	412.9648387	wfalls
AK02_20070922_195333	3002.5	816.5	493881.5042	6780619.489	252.55	JNCSLDR
AK02_20070922_195333	3770	629	494709.0757	6780726.915	431.774353	pinch
AK02_20070922_195333	1196	1052.25	494774.34	6777380.79	29.50399971	transients (snow, glacier)
AK02_20070922_195333	2775	1392	496384	6776496	17.89	transients (snow, glacier)
AK03_20071003_205314	171	2344	496964.8825	6776154.479	146.8	CCFG005
AK03_20071003_205314	356	2451	496968.0846	6776156.254	145.39	CCFG004
AK03_20071003_205314	153.75	946	493407.41	6776274.48	329.896759	nipple
AK03_20071003_205314	616.5	813.25	493193.938	6776740.442	489.974	kadin_cairin
AK03_20071003_205314	923	766	483102.2441	6779457.79	1517.682273	P4930
AK03_20071003_205314	1597	763	479195.7452	6784306.342	2151.673982	P7010
AK03_20071003_205314	2098.5	712.5	481239.3218	6786456.92	2301.027798	TOOTH
AK03_20071003_205314	2287.75	699.75	481497.8021	6787589.501	2432.093392	P7930
AK03_20071003_205314	2664.5	650.5	483724.866	6788352.63	2483.910022	TRIANGLEPK
AK03_20071003_205314	3116.75	933.5	492548.1	6781467.24	443.9587097	xcrack
AK03_20071003_205314	3451.25	1032.75	493881.5042	6780619.489	252.55	JNCSLDR
AK03_20080208_205507	233	2261	496964.8825	6776154.479	146.8	CCFG005
AK03_20080208_205507	409	2362	496968.0846	6776156.254	145.39	CCFG004
AK03_20080208_205507	158.25	875	493407.41	6776274.48	329.896759	nipple
AK03_20080208_205507	620.5	733.5	493193.938	6776740.442	489.974	kadin_cairin
AK03_20080208_205507	916	683	483102.2441	6779457.79	1517.682273	P4930
AK03_20080208_205507	1593	658.25	479195.7452	6784306.342	2151.673982	P7010
AK03_20080208_205507	2093.75	592.25	481239.3218	6786456.92	2301.027798	TOOTH
AK03_20080208_205507	2284.5	577.75	481497.8021	6787589.501	2432.093392	P7930
AK03_20080208_205507	2663.75	516.25	483724.866	6788352.63	2483.910022	TRIANGLEPK
AK03_20080208_205507	3144.5	825	492548.1	6781467.24	443.9587097	xcrack
AK03_20080208_205507	3311	834.25	492682.5466	6781838.068	412.9648387	wfalls
AK03_20080608_181855	196	2327	496964.8825	6776154.479	146.8	CCFG005
AK03_20080608_181855	371	2429	496968.0846	6776156.254	145.39	CCFG004
AK03_20080608_181855	168	933	493407.41	6776274.48	329.896759	nipple
AK03_20080608_181855	615	800	493193.938	6776740.442	489.974	kadin_cairin
AK03_20080608_181855	936	754	483102.2441	6779457.79	1517.682273	P4930
AK03_20080608_181855	1609	750	479195.7452	6784306.342	2151.673982	P7010
AK03_20080608_181855	2106	700	481239.3218	6786456.92	2301.027798	TOOTH
AK03_20080608_181855	2300	689	481497.8021	6787589.501	2432.093392	P7930
AK03_20080608_181855	2678	639	483724.866	6788352.63	2483.910022	TRIANGLEPK
AK03_20080608_181855	3123	919	492548.1	6781467.24	443.9587097	xcrack
AK03_20080608_181855	3444	1032	493881.5042	6780619.489	252.55	JNCSLDR
AK04_20070610_180021	376	424.25	481239.3218	6786456.92	2301.027798	TOOTH
AK04_20070610_180021	724.75	409	481497.8021	6787589.501	2432.093392	P7930
AK04_20070610_180021	1394	322	483724.866	6788352.63	2483.910022	TRIANGLEPK
AK04_20070610_180021	1645	687.5	492132.5979	6780714.854	563.8721985	clubarm
AK04_20070610_180021	1728	690.5	492263.39	6780711.84	548.15	bullseye
AK04_20070610_180021	2324	743	492548.1	6781467.24	443.9587097	xcrack
AK04_20070610_180021	2632.5	810.5	492682.5466	6781838.068	412.9648387	wfalls
AK04_20070610_180021	2936	879	493881.5042	6780619.489	252.55	JNCSLDR
AK04_20070619_180030	376	429	481239.3218	6786456.92	2301.027798	TOOTH
AK04_20070619_180030	726	413	481497.8021	6787589.501	2432.093392	P7930
AK04_20070619_180030	1395	326	483724.866	6788352.63	2483.910022	TRIANGLEPK
AK04_20070619_180030	1643	692	492132.5979	6780714.854	563.8721985	clubarm
AK04_20070619_180030	1729	697	492263.39	6780711.84	548.15	bullseye
AK04_20070619_180030	2325	749	492548.1	6781467.24	443.9587097	xcrack
AK04_20070619_180030	2631	824	492682.5466	6781838.068	412.9648387	wfalls
AK04_20070619_180030	2937	885	493881.5042	6780619.489	252.55	JNCSLDR
AK09_20090516_200409	216	417	493881.5042	6780619.489	252.55	JNCSLDR
AK09_20090516_200409	1297	91	494908.396	6782074.697	843.71	JUNCTURE (old)
AK09_20090516_200409	3281	93	499393.6861	6789973.522	1792.005608	P5830
AK09_20090516_200409	792	293	494709.0757	6780726.915	431.774353	pinch
AK09_20090516_200409	1301	374	495248.1702	6781283.296	348.9417114	jawlip
AK09_20090516_200409	1573	367	495565.7576	6781631.034	376.3372192	alcove
AK09_20090516_200409	2079	433	496269.274	6782293.545	309.6762085	butt
AK09_20090516_200409	2450	382	496869.8759	6782848.72	427.2636108	portaledge
AK09_20090516_200409	3600	483	499091.7815	6783587.211	353.4075623	kissers
AK09_20090803_200320	208	424	493881.5042	6780619.489	252.55	JNCSLDR
AK09_20090803_200320	1303	90	494908.396	6782074.697	843.71	JUNCTURE (old)
AK09_20090803_200320	3278	96	499393.6861	6789973.522	1792.005608	P5830
AK09_20090803_200320	786.5	295.75	494709.0757	6780726.915	431.774353	pinch
AK09_20090803_200320	1298.5	376	495248.1702	6781283.296	348.9417114	jawlip
AK09_20090803_200320	1571	368.75	495565.7576	6781631.034	376.3372192	alcove
AK09_20090803_200320	2076.25	434	496269.274	6782293.545	309.6762085	butt
AK09_20090803_200320	2448.5	383.75	496869.8759	6782848.72	427.2636108	portaledge
AK09_20090803_200320	3599.25	484	499091.7815	6783587.211	353.4075623	kissers
AK09_20090803_200320	2538.5	217.5	496939.4235	6784324.898	848.79	screepit
AK09_20090803_200320	2982	979	497470.49	6777885.87	41.95600128	glacier
AK09_20090803_200320	3353	1045	497601.49	6777699.87	48.62900162	glacier
AK09_20090803_200320	3705	639	498275.49	6779775.87	146.9929962	glacier
AK09_20090803_200320	2447	834	497217.49	6778219.87	40.55699921	glacier
AK09_20090822_200308	214	424	493881.5042	6780619.489	252.55	JNCSLDR
AK09_20090822_200308	1300	94	494908.396	6782074.697	843.71	JUNCTURE (old)
AK09_20090822_200308	787	298	494709.0757	6780726.915	431.774353	pinch
AK09_20090822_200308	1299	379	495248.1702	6781283.296	348.9417114	jawlip
AK09_20090822_200308	1571	371	495565.7576	6781631.034	376.3372192	alcove
AK09_20090822_200308	2076	436	496269.274	6782293.545	309.6762085	butt
AK09_20090822_200308	2448	385	496869.8759	6782848.72	427.2636108	portaledge
